Reference_PMID;PubMed_Ranking;Test_PMID;Equivalence;Relevance;First_rater;Second_rater;Stages
24204323;1;22970194;+;FALSE;+;na;Knowledge base, Target discovery
24204323;2;23468640;+;FALSE;+;na;Knowledge base, Target discovery
24204323;3;16687439;n;FALSE;n;na;(Knowledge base), Target discovery
24204323;4;26774442;++;FALSE;++;na;Knowledge base
24204323;5;25645993;-;FALSE;-;na;(Knowledge base), Target discovery
24204323;6;12554681;+;FALSE;+;na;(Knowledge base), Target discovery
24204323;7;19497791;+;TRUE;+;na;Knowledge base, Target discovery
24204323;8;16204034;-;FALSE;-;na;Knowledge base, Target discovery
24204323;9;24971578;n;FALSE;n;na;Knowledge base, Target discovery
24204323;10;19997493;-;FALSE;-;na;Knowledge base, Target discovery
24204323;11;21897851;-;FALSE;-;na;Knowledge base, Target discovery
24204323;12;18930147;+;FALSE;+;na;(Knowledge base), Target discovery
24204323;13;26581643;-;FALSE;-;na;Knowledge base, Target discovery
24204323;14;22344730;-;FALSE;-;na;Clinical findings
24204323;15;11317354;-;FALSE;-;na;Knowledge base, Clinical findings
24204323;16;16728433;-;FALSE;-;na;(Knowledge base), Target discovery
24204323;17;18206535;-;FALSE;-;na;Knowledge base, Clinical findings
24204323;18;21536587;-;FALSE;-;na;Knowledge base, Target discovery
24204323;19;9887339;-;FALSE;-;na;Knowledge base, Model development
24204323;20;27979358;n;FALSE;n;na;Knowledge base
24204323;21;12217951;-;FALSE;-;na;Knowledge base, Target discovery, (Clinical findings)
24204323;22;21170307;-;FALSE;-;na;Knowledge base, Target discovery
24204323;23;15198993;n;FALSE;n;na;Knowledge base, Target discovery
24204323;24;23209427;-;FALSE;-;na;Knowledge base, Target discovery
24204323;25;28934397;+;TRUE;+;na;Knowledge base, Clinical findings, (Target discovery)
24204323;26;12091911;-;FALSE;-;na;Knowledge base, Biological function
24204323;27;19436705;n;FALSE;n;na;Knowledge base, Target discovery
24204323;28;20302627;n;FALSE;n;na;Knowledge base, Method development, Target discovery
24204323;29;26994442;n;TRUE;n;na;Knowledge base, Clinical findings
24204323;30;24443562;-;FALSE;-;na;Knowledge base, Biological function
24204323;31;27155933;-;FALSE;-;na;Knowledge base, Target discovery
24204323;32;18057311;-;FALSE;-;na;Knowledge base, Biological function
24204323;33;10429667;-;FALSE;-;na;Knowledge base, Biological function
24204323;34;16837128;-;FALSE;-;na;Knowledge base, Clinical findings
24204323;35;20053912;-;FALSE;-;na;Knowledge base, Target discovery
24204323;36;20935170;n;TRUE;n;na;Knowledge base, Target discovery
24204323;37;10615123;-;FALSE;-;na;Knowledge base, Target discovery
24204323;38;21540131;-;FALSE;-;na;Knowledge base, Clinical findings
24204323;39;28334820;-;FALSE;-;na;Knowledge base, Target discovery
24204323;40;22914735;n;FALSE;n;na;(Knowledge base), Target discovery
24204323;41;24191263;n;FALSE;n;na;Knowledge base, Target discovery, (Clinical findings)
24204323;42;28827832;-;FALSE;-;na;(Knowledge base), Biological function
24204323;43;23071719;n;FALSE;n;na;Knowledge base, Target discovery
24204323;44;26232222;+;TRUE;+;na;(Knowledge base), Clinical findings
24204323;45;27913616;-;FALSE;-;na;Knowledge base, Target discovery
24204323;46;17054581;-;FALSE;-;na;Knowledge base, Clinical findings
24204323;47;24403070;-;FALSE;-;na;Knowledge base, Biological function
24204323;48;18551179;-;FALSE;-;na;Knowledge base, Target discovery, (Clinical findings)
24204323;49;22289650;-;FALSE;-;na;Knowledge base, Target discovery
24204323;50;12697826;-;FALSE;-;na;(Knowledge base), Target discovery
24204323;51;23933738;+;TRUE;+;na;na
24204323;52;15942939;-;FALSE;-;na;na
24204323;53;16260499;-;FALSE;-;na;na
24204323;54;23089356;-;FALSE;-;na;na
24204323;55;26047474;+;TRUE;+;na;na
24204323;56;9368761;-;FALSE;-;na;na
24204323;57;11901110;-;FALSE;-;na;na
24204323;58;10581038;+;FALSE;+;na;na
24204323;59;22072510;-;FALSE;-;na;na
24204323;60;21887328;-;FALSE;-;na;na
24204323;61;28453523;-;FALSE;-;na;na
24204323;62;21907095;-;FALSE;-;na;na
24204323;63;28642124;+;TRUE;+;na;na
24204323;64;11494364;-;FALSE;-;na;na
24204323;65;26333255;-;FALSE;-;na;na
24204323;66;26295712;-;FALSE;-;na;na
24204323;67;24550389;-;FALSE;-;na;na
24204323;68;18505871;-;FALSE;-;na;na
24204323;69;17715336;-;FALSE;-;na;na
24204323;70;26165466;-;FALSE;-;na;na
24204323;71;20864123;-;FALSE;-;na;na
24204323;72;16322221;-;FALSE;-;na;na
24204323;73;17409200;-;FALSE;-;na;na
24204323;74;15467433;-;FALSE;-;na;na
24204323;75;15848234;-;FALSE;-;na;na
24204323;76;24924810;-;FALSE;-;na;na
24204323;77;10627141;-;FALSE;-;na;na
24204323;78;16423994;-;FALSE;-;na;na
24204323;79;21840924;-;FALSE;-;na;na
24204323;80;24323032;-;FALSE;-;na;na
24204323;81;11063736;-;FALSE;-;na;na
24204323;82;18412970;-;FALSE;-;na;na
24204323;83;15715978;+;TRUE;+;na;na
24204323;84;23316435;-;FALSE;-;na;na
24204323;85;11154280;-;FALSE;-;na;na
24204323;86;18787700;-;FALSE;-;na;na
24204323;87;8910404;-;FALSE;-;na;na
24204323;88;9203583;-;FALSE;-;na;na
24204323;89;15475387;-;FALSE;-;na;na
24204323;90;23724141;-;FALSE;-;na;na
24204323;91;12223581;-;FALSE;-;na;na
24204323;92;10359802;-;FALSE;-;na;na
24204323;93;10434303;-;FALSE;-;na;na
24204323;94;25760041;-;FALSE;-;na;na
24204323;95;19465745;-;FALSE;-;na;na
24204323;96;12057899;-;FALSE;-;na;na
24204323;97;12895502;-;FALSE;-;na;na
24204323;98;28165127;-;FALSE;-;na;na
24204323;99;24278347;-;FALSE;-;na;na
24204323;100;27131875;-;FALSE;-;na;na
24204323;101;27044000;n;TRUE;n;na;na
21494637;1;25174890;+;FALSE;+;na;Knowledge base, Model development
21494637;2;26123485;+;FALSE;+;na;Knowledge base, Model development, (Target discovery)
21494637;3;25174649;+;FALSE;+;na;Knowledge base, Model development
21494637;4;22539006;+;FALSE;+;na;Knowledge base, (Model development), Target discovery
21494637;5;25830304;+;FALSE;+;na;(Knowledge base), Model development, Clinical findings
21494637;6;21698001;-;FALSE;-;na;Knowledge base, Model development
21494637;7;20382224;+;TRUE;+;na;Knowledge base, Model development
21494637;8;20130188;+;FALSE;+;na;Knowledge base, Model development
21494637;9;24830390;+;FALSE;+;na;(Model development), Target discovery
21494637;10;25836420;n;FALSE;n;na;Knowledge base, Model development
21494637;11;26546614;-;FALSE;-;na;Knowledge base, Target discovery
21494637;12;23813973;n;TRUE;n;na;Knowledge base, Target discovery
21494637;13;26744332;++;FALSE;++;na;Knowledge base, Model development
21494637;14;25731749;+;FALSE;+;na;Knowledge base, (Model development), Target discovery
21494637;15;21168496;-;FALSE;-;na;Knowledge base, Model development, (Target discovery)
21494637;16;21454543;-;FALSE;-;na;Knowledge base, Target discovery
21494637;17;26363496;+;FALSE;+;na;Knowledge base, Model development, Target discovery
21494637;18;29038245;-;FALSE;-;na;Knowledge base, Target discovery, (Clinical findings)
21494637;19;28321439;+;FALSE;+;na;Knowledge base, Model development
21494637;20;22363216;-;FALSE;-;na;Knowledge base, Target discovery
21494637;21;18182054;-;FALSE;-;na;Knowledge base, Model development, Target discovery
